covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Albumin_min,0.16927341565272705,1.1844439401688076,0.125149558462737,-0.07601521161532743,0.4145620429207815,0.9268021082949977,1.5137076565174035,0.0,1.3525690200747118,0.17619335513917736,2.50476857862293
Albumin_max,-0.08418228956658065,0.9192636686451363,0.13092784898009238,-0.34079615814086095,0.17243157900769968,0.7112038665500031,1.1881905206592431,0.0,-0.6429670251390183,0.520245496658934,0.9427355231073243
Albumin_mean,-0.580617766200232,0.5595525870954042,0.39868895269770416,-1.3620337545217254,0.20079822212126142,0.2561393223729175,1.2223780980778647,0.0,-1.4563176688782515,0.1453048233455804,2.782845501336749
Albumin_median,0.11089949024159258,1.1172826034062153,0.2543534692337729,-0.387624148799419,0.6094231292826041,0.6786673732814757,1.839370013970647,0.0,0.4360054163038222,0.6628327998313182,0.5932830997764548
Phosphate_first,-0.0022968861839357834,0.9977057496406859,0.030047774881928932,-0.06118944276808376,0.0565956704002122,0.9406450244985197,1.0582278510395178,0.0,-0.07644114058233166,0.939068139884016,0.09069824956837128
Phosphate_last,0.005115003301154599,1.0051281072632832,0.024415537381677004,-0.0427385706301237,0.0529685772324329,0.958161848975364,1.0543965125422627,0.0,0.20949787920675578,0.8340595908034855,0.26177763173851076
Phosphate_min,-0.19856556825933275,0.8199060091680601,0.06637704088457026,-0.32866217779343315,-0.06846895872523234,0.7198861692077713,0.9338224466927821,0.0,-2.9914796684690788,0.0027762902480789804,8.492625881884678
Phosphate_max,-0.007655345985588166,0.9923738815456482,0.026753146403566026,-0.06009054940970485,0.04477985743852852,0.9416792612223909,1.0457976100010982,0.0,-0.28614750093722646,0.7747651513526749,0.36816903137128326
Phosphate_mean,0.7669682335670848,2.153228262792448,0.1659176635689217,0.4417755885729648,1.0921608785612047,1.555466636776483,2.9807080666780146,0.0,4.622583377016326,3.7899040410722787e-06,18.009407248954656
Phosphate_median,-0.20680515215119474,0.8131780805518336,0.121896988443144,-0.4457188593236522,0.0321085550212627,0.6403637790627709,1.0326295963487737,0.0,-1.6965566975237798,0.08978050240886372,3.4774540202226687
"Calcium,_Total_first",0.007627140668976687,1.0076563013968813,0.04994209913483941,-0.09025757494763754,0.10551185628559091,0.9136958098087502,1.1112792800892612,0.0,0.1527196653946014,0.8786193519437074,0.1866898191696938
"Calcium,_Total_last",-0.04287973911559053,0.9580265962652469,0.05336194544245911,-0.14746723032780168,0.06170775209662061,0.8628907145039296,1.0636514493949796,0.0,-0.8035640147683206,0.42164881256491804,1.2458862033179048
"Calcium,_Total_min",0.10942639375155969,1.1156379499887612,0.07494146747636853,-0.03745618345070245,0.2563089709538218,0.9632366225011362,1.2921519036758358,0.0,1.4601581398985197,0.14424661687377863,2.79339061224994
"Calcium,_Total_max",-0.025950095162476303,0.9743837148563973,0.06057006613836669,-0.1446652433348841,0.09276505300993149,0.8653119135623176,1.0972039202242854,0.0,-0.4284310190977127,0.6683373451970764,0.5813516038735463
"Calcium,_Total_mean",0.11947793635497764,1.1269083800864408,0.295085354596519,-0.45887873101943055,0.6978346037293858,0.631991881263764,2.0093968526457058,0.0,0.40489280302759917,0.6855563088068823,0.5446529269132901
"Calcium,_Total_median",-0.029037414174992355,0.9713801204009087,0.23444198417285456,-0.4885352596178966,0.43046043126791195,0.6135243903081615,1.5379654879509226,0.0,-0.12385756876030793,0.9014280494033184,0.14971575232747114
